userName,app,score,at,content,normalized_text
Oktavianus Robinson,Gojek,5,2026-04-22 13:26:40,"Ada peningkatan dan sudah ada perubahan besar, cepat dapat driver, dengan tarif yang konsisten untuk saya yang setiap hari di pakai pulang pergi kerja. terima kasih Gojek...",tingkat sudah ubah besar cepat pengemudi tarif konsisten saya tiap hari pakai pulang pergi kerja terima kasih gojek
Darul Nafis,Gojek,5,2026-04-22 13:16:16,mantap sangat membantu,mantap sangat bantu
Coco Milano,Gojek,5,2026-04-22 13:15:37,Sangat membantu dan Amanah,sangat bantu amanah
ArifRahmat Kurniawan,Gojek,1,2026-04-22 13:14:38,sangat buruk sudah berapa kali masuk verif 3 kali wajah tidak bisa terus masuk uang melayang. sudah minta bantuan pun juga tidak di tanggapi. BURUUK,sangat buruk berapa kali masuk verif kali wajah bisa terus masuk uang layang minta bantu juga di tanggap buruuk
ajat sudrajat,Gojek,5,2026-04-22 13:12:10,sangat bagus,sangat bagus
hendy arsya,Gojek,5,2026-04-22 13:07:39,oke membantu,baik bantu
Karsono Nano,Gojek,5,2026-04-22 13:03:17,pokoknya oke lah,pokok baik lah
Nopo Le,Gojek,3,2026-04-22 13:03:09,Bayar dengan GoPay... jika transaksi macet (Dalam Proses) terlalu lama.. (misal 30menit) sebaiknya diberikan opsi 'PEMBATALAN'.. sehingga dana/uang tidak tersandera dan bisa dimanfaatkan untuk yang lain.. Tks.,bayar gopay transaksi macet proses terlalu lama misal menit baik beri opsi batal danauang sandera bisa manfaat yang tks
Hendra Sudrajat,Gojek,1,2026-04-22 12:44:21,kurang josjis aplikasinya...tambah kesini mala ga sip.... masa chat driver erorr,kurang josjis aplikasinyatambah kesini mala tidak sip masa chat pengemudi erorr
Sujud tawakal 1994,Gojek,5,2026-04-22 12:37:42,kenapa gopay saya tidak bisa menerima top up,gopay tidak terima top up
Yeni Setiawan,Gojek,5,2026-04-22 12:30:56,Terimakasih karna sangat membantu sekali🥰🤙🏻,terimakasih karena sangat bantu sekali
Balfas Syafik,Gojek,1,2026-04-22 12:14:59,sudah banyak costumer yg pindah ke apk tetangga apa lagi yg Lo cari. ke untungan Mulu yg ada di otak Lo. bukan pelayanan lagi. driver di jam sibuk banyak apk nya yg Lo matiin bukan Lo tambah dreiver malah Lo kurangin tujuannya apa klw bukan cari harga lonjakan. uang driver Lo makan costumer juga Lo makan. Uda cukup,banyak costumer yang pindah apk tetangga apa yang kamu cari untung mulu yang otak kamu bukan layan pengemudi di jam sibuk banyak apk nya yang kamu matiin bukan kamu tambah dreiver malah kamu rangin tuju apa klw bukan cari harga lonjak uang pengemudi kamu makan costumer kamu makan uda cukup
Jhon Gito,Gojek,5,2026-04-22 12:06:35,aplikasi yg bermanfaat dan efesiensi,aplikasi yang manfaat efesiensi
Orin Dwi k,Gojek,5,2026-04-22 11:50:51,gojek selalu ada dimana saja dan kapansaja,gojek selalu mana dan kapansaja
MOON STAR,Gojek,1,2026-04-22 11:48:42,benerin dulu karyawan nya masak kebanyakan karyawan nya melanggar aturan berkendara,benerin dulu karyawan nya masak banyak karyawan nya langgar atur kendara
apa aja,Gojek,5,2026-04-22 11:41:42,mantaaap....,mantaaap
Bagas Putra,Gojek,1,2026-04-22 11:29:21,"tolong dong navigasi nya diakuratin lagi, susah bener dah",dong navigasi nya diakuratin susah bener sudah
Kristi Handayani,Gojek,5,2026-04-22 11:10:14,driver ramah dan cepat,pengemudi ramah cepat
