userName,score,at,content,app
Oktavianus Robinson,5,2026-04-22 13:26:40,"Ada peningkatan dan sudah ada perubahan besar, cepat dapat driver, dengan tarif yang konsisten untuk saya yang setiap hari di pakai pulang pergi kerja. terima kasih Gojek...",Gojek
Darul Nafis,5,2026-04-22 13:16:16,mantap sangat membantu,Gojek
Coco Milano,5,2026-04-22 13:15:37,Sangat membantu dan Amanah,Gojek
ArifRahmat Kurniawan,1,2026-04-22 13:14:38,sangat buruk sudah berapa kali masuk verif 3 kali wajah tidak bisa terus masuk uang melayang. sudah minta bantuan pun juga tidak di tanggapi. BURUUK,Gojek
ajat sudrajat,5,2026-04-22 13:12:10,sangat bagus,Gojek
hendy arsya,5,2026-04-22 13:07:39,oke membantu,Gojek
Karsono Nano,5,2026-04-22 13:03:17,pokoknya oke lah,Gojek
Nopo Le,3,2026-04-22 13:03:09,Bayar dengan GoPay... jika transaksi macet (Dalam Proses) terlalu lama.. (misal 30menit) sebaiknya diberikan opsi 'PEMBATALAN'.. sehingga dana/uang tidak tersandera dan bisa dimanfaatkan untuk yang lain.. Tks.,Gojek
Hendra Sudrajat,1,2026-04-22 12:44:21,kurang josjis aplikasinya...tambah kesini mala ga sip.... masa chat driver erorr,Gojek
Sujud tawakal 1994,5,2026-04-22 12:37:42,kenapa gopay saya tidak bisa menerima top up,Gojek
Anas An,5,2026-04-22 12:31:48,baik,Gojek
Yeni Setiawan,5,2026-04-22 12:30:56,Terimakasih karna sangat membantu sekali🥰🤙🏻,Gojek
Balfas Syafik,1,2026-04-22 12:14:59,sudah banyak costumer yg pindah ke apk tetangga apa lagi yg Lo cari. ke untungan Mulu yg ada di otak Lo. bukan pelayanan lagi. driver di jam sibuk banyak apk nya yg Lo matiin bukan Lo tambah dreiver malah Lo kurangin tujuannya apa klw bukan cari harga lonjakan. uang driver Lo makan costumer juga Lo makan. Uda cukup,Gojek
Jhon Gito,5,2026-04-22 12:06:35,aplikasi yg bermanfaat dan efesiensi,Gojek
Orin Dwi k,5,2026-04-22 11:50:51,gojek selalu ada dimana saja dan kapansaja,Gojek
MOON STAR,1,2026-04-22 11:48:42,benerin dulu karyawan nya masak kebanyakan karyawan nya melanggar aturan berkendara,Gojek
apa aja,5,2026-04-22 11:41:42,mantaaap....,Gojek
Adidi Isma,5,2026-04-22 11:36:52,bagus,Gojek
Bagas Putra,1,2026-04-22 11:29:21,"tolong dong navigasi nya diakuratin lagi, susah bener dah",Gojek
Kristi Handayani,5,2026-04-22 11:10:14,driver ramah dan cepat,Gojek
Theodora Cindy,2,2026-04-22 11:08:47,aplikasi tolol. driver cancel tapi gada notif apa apa. tampilan aplikasi pun ga berubah,Gojek
Fahrun Iqbal,5,2026-04-22 11:06:43,"Akun go-ride jabodetabek reguler kapan buka nya ya ? saya di wa nya yg gocar terus, perasaan saya ga pernah daftar gocar",Gojek
Ubay Fahmi,5,2026-04-22 10:49:35,Sangat membantu saya.,Gojek
Diesta Andika,5,2026-04-22 10:38:12,gercep,Gojek
Abie Musa,5,2026-04-22 10:35:56,Sangat membantu untuk memenuhi kebutuhan sehari-hari 👍,Gojek
Yana Lia,5,2026-04-22 10:31:48,mantap,Gojek
Samber Nyowo,3,2026-04-22 10:31:48,ongkir mahal,Gojek
Fanny visual,5,2026-04-22 10:18:27,sangat membantu sekali,Gojek
Fauziyah Salma 福だ uzy,1,2026-04-22 10:14:16,aplikasi paling buruk dan zhalim,Gojek
Dimas Aditya,1,2026-04-22 10:10:28,"untuk pengemudi terutama motor itu sering lawan arah tolong lah di tindak,kalo di suspend berapa hari masih lawan arah copot ajah udah mitranya BIKIN GANGGU RISIH KAYA GENG MOTOR",Gojek
Suci Fitriyani,5,2026-04-22 10:05:45,like,Gojek
Dhya' Qisthina,1,2026-04-22 09:19:39,"baru pertama kali ditolak, ditinggal pergi padahal udah nyampe, driver yang jogja malesi, gak sopan, labil kaya anak SD, gak niat kerja,",Gojek
JOHANES HANIBAL PALIT,5,2026-04-22 09:13:23,sangat cepat penjemputan ya dan sangat baik layanan ya ... makasih,Gojek
Rahkes Manibalan,5,2026-04-22 09:12:40,baik semoga lebih baik lagi,Gojek
Anggih Agustian,5,2026-04-22 09:08:11,bagus sekali,Gojek
Ahza123,1,2026-04-22 08:59:01,"ramah sama penumpangnya doang, sama orang lain kagak ramah. pikiran duit doang ini mah 😂😂 kerjaan ampas",Gojek
Hans Silalahi,1,2026-04-22 08:48:36,banyak pengemudi yang tidak taat aturan. contohnya melawan arah yang dilakukan oleh driver dengan plat bg 5877 AFH. tolong urus kasusnya,Gojek
ummina simbolon,5,2026-04-22 08:46:25,sangat membantu,Gojek
Chikmatul Azizah,5,2026-04-22 08:39:25,ramah dan pelayanan nya baik,Gojek
Ariful Anwar,5,2026-04-22 08:31:35,"sayang KLO hujan nyantole driver susah ,makanya sistem driver jangan diotak Atik terus biar gak sulit",Gojek
Topan Al bahasyim,5,2026-04-22 07:59:51,mantulll,Gojek
andri kusuma,5,2026-04-22 07:53:04,Mantab Gocar Gojek Maju terus...,Gojek
Fanz Xkoo,5,2026-04-22 07:43:35,sangat praktis untuk mendapatkan jasa antaran,Gojek
Robi Irwan,5,2026-04-22 07:30:47,sangat membantu,Gojek
Fen 969,1,2026-04-22 07:25:03,daftar aja ribet amat kan saya mau ngojek bukan jadi drever ampun deh,Gojek
Muhammad Husaeni,5,2026-04-22 07:14:24,sangat membantu,Gojek
Raymon Star,5,2026-04-22 07:00:09,oke bangett lumayanlah,Gojek
Aulia Kurniawan,5,2026-04-22 06:59:59,"Aplikasi sangat rekomendasi memudahkan dalam sehari hari aktivitas kita, Terimakasih.",Gojek
weather report,5,2026-04-22 06:57:44,enak untuk menjelajahi semua tempat,Gojek
Opis Comel,5,2026-04-22 06:55:00,solusi tepat untuk aman berkendara,Gojek
Caesar Iyong06,5,2026-04-22 06:50:09,dengan aplikasi ini kebutuhan saya yang mendadak dan tidak langsung beli kebutuhan saya di toko sangangat membantu,Gojek
Alfa Shop,3,2026-04-22 06:43:39,"HILANGKAN FITUR PADA APLIKASI CUSTOMER YANG MENGIJINKAN PELANGGAN BISA MEMESAN LEBIH DARI 1 ORDERAN PADA SEMUA LAYANAN PADA APLIKASI GOJEK AGAR TIDAK TERJADI DOUBLE ORDER KARENA AKAN MERUGIKAN DRIVER JIKA MENDAPAT PELANGGAN YG AGAK GAPTEK SEHINGGA TIDAK BISA MEMBATALKAN ORDERAN YG TIDAK SENGAJA ATAU KARENA HAL LAIN. MOHON PERHATIAN DAN KERJASAMANYA, TERIMAKASIH.",Gojek
Hendri Ansyah,5,2026-04-22 06:26:47,good,Gojek
Supri Yadi,5,2026-04-22 06:23:09,g ribet,Gojek
Muhammad Syahidin,5,2026-04-22 05:50:59,sangat membantu,Gojek
Ari Santy,5,2026-04-22 05:41:00,enak laah laper laper g pusing keluar beli makan,Gojek
Gojek Jakarta Driver,5,2026-04-22 05:37:09,"Gojek.., sangat mnunjang utk Kepentingan Masyarakat.",Gojek
Hendri Yanto,5,2026-04-22 05:36:22,good,Gojek
Kristanti Wardani,5,2026-04-22 05:17:48,memyenangkn dpt driver ramah,Gojek
Osii Muhamad,1,2026-04-22 05:10:40,"ongkir mahal dapat driver yang dari jauh mulu, padahal di depan mata banyak driver pada tiduram. apalagi pesen gofod di lama2in",Gojek
Keyong Warna,1,2026-04-22 05:08:08,"makin ribet aja mau jadi konsumen, prosesnya mulai mirip mau jadi nasabah pinjol aja. auto geser sebelah bersama sekeluarga dan ngajak semua koneksi yang dipunya.",Gojek
Miftahul Rohmah,5,2026-04-22 05:05:24,banyak promo i like it,Gojek
Wiwin Bunda Salma GNC,5,2026-04-22 04:56:52,naik grab lebih praktis dan lebih nyaman,Gojek
eko cahyono,5,2026-04-22 04:56:48,berkendara dengan aman dan mudah,Gojek
