userName,app,score,at,content,normalized_text
SAINTSS ZOLDYCKK,Grab,3,2026-04-22 12:37:11,tidak bisa menggunakan kupon,bisa guna kupon
Syakilla Mariska,Grab,1,2026-04-22 12:19:05,driver grabfood pilih2 kalau cuaca hujan gak mau ambil orderan udah sombong kali driver grab ini,pengemudi grab food pilih kalau cuaca hujan tidak mau ambil pesan sudah sombong kali pengemudi grab
Putra Pranata,Grab,5,2026-04-22 12:19:04,mantap,mantap
ong soleman,Grab,5,2026-04-22 12:06:46,lebih hemat dan terjangkau,lebih hemat jangkau
Dela Saputri,Grab,1,2026-04-22 11:34:20,"aplikasi kikir. padahal pake grab udah lama, makin setia harusnya makin banyak promo, eh tiap pesen grab food ongkos kirimnya bukan makin rendah malah main naik. sekali pesen makan ongkos kirimnya lebih mahal dari harga makanannya. ampun deh.",aplikasi kikir padahal pakai grab sudah lama makin setia harus makin banyak promo eh tiap sen grab food ongkos kirim bukan makin rendah malah main naik sekali sen makan ongkos kirim lebih mahal harga makan ampun deh
Daichi Ozora,Grab,5,2026-04-22 10:44:46,"Gw sebagai pelajar sangat mendukung aplikasi ini karena murah dari aplikasi sebelah, karena jarak rumah saya ke sekolah itu 5,7km dan waktu jalan nya 12 menit pake motor dan juga harga nya cuma 13k di aplikasi sebelah 25k.untuk developer aplikasi nya saya sangat mendukung aplikasi karena ada pembayaran lewat Qris dan juga murah pastinya.",saya ajar sangat dukung aplikasi murah aplikasi belah jarak rumah ke sekolah kamu waktu jalan nya menit pakai motor juga harga nya cuma k aplikasi belah kuntuk developer aplikasi nya sangat dukung aplikasi karena ada bayar lewat qris juga murah pasti
Yati Nurhayati,Grab,5,2026-04-22 09:35:17,mantap,mantap
Pak Prite,Grab,5,2026-04-22 09:23:07,minta tolong min akun saya yang driver belum diterima terima semoga segera bisa kerja di driver nya min🙏,minta min akun yang pengemudi terima terima moga segera kerja pengemudi nya min
Elisabet Suryanti Ndelos,Grab,1,2026-04-22 09:10:48,"Aplikasi paling aneh, bisa pilih makanan menu pesannya malah hilang. hadehh",aplikasi paling aneh pilih makan menu pesan malah hilang hadehh
armand muhdy,Grab,2,2026-04-22 08:54:54,drivernya banyak yang cancel seenaknya dan ada juga yang parah tidak mau jrmput ke titik lokasi penjemputan penumpang,drivernya banyak cancel enak ada yang parah mau jrmput titik lokasi jemput tumpang
