userName,score,at,content,app
SAINTSS ZOLDYCKK,3,2026-04-22 12:37:11,tidak bisa menggunakan kupon,Grab
Arifin,5,2026-04-22 12:22:18,good,Grab
Syakilla Mariska,1,2026-04-22 12:19:05,driver grabfood pilih2 kalau cuaca hujan gak mau ambil orderan udah sombong kali driver grab ini,Grab
Putra Pranata,5,2026-04-22 12:19:04,mantap,Grab
ong soleman,5,2026-04-22 12:06:46,lebih hemat dan terjangkau,Grab
Putra Asw,5,2026-04-22 11:50:27,ok,Grab
Dela Saputri,1,2026-04-22 11:34:20,"aplikasi kikir. padahal pake grab udah lama, makin setia harusnya makin banyak promo, eh tiap pesen grab food ongkos kirimnya bukan makin rendah malah main naik. sekali pesen makan ongkos kirimnya lebih mahal dari harga makanannya. ampun deh.",Grab
Rudy Putra,5,2026-04-22 11:20:27,ok,Grab
Daichi Ozora,5,2026-04-22 10:44:46,"Gw sebagai pelajar sangat mendukung aplikasi ini karena murah dari aplikasi sebelah, karena jarak rumah saya ke sekolah itu 5,7km dan waktu jalan nya 12 menit pake motor dan juga harga nya cuma 13k di aplikasi sebelah 25k.untuk developer aplikasi nya saya sangat mendukung aplikasi karena ada pembayaran lewat Qris dan juga murah pastinya.",Grab
Yati Nurhayati,5,2026-04-22 09:35:17,mantap,Grab
Pak Prite,5,2026-04-22 09:23:07,minta tolong min akun saya yang driver belum diterima terima semoga segera bisa kerja di driver nya min🙏,Grab
Elisabet Suryanti Ndelos,1,2026-04-22 09:10:48,"Aplikasi paling aneh, bisa pilih makanan menu pesannya malah hilang. hadehh",Grab
armand muhdy,2,2026-04-22 08:54:54,drivernya banyak yang cancel seenaknya dan ada juga yang parah tidak mau jrmput ke titik lokasi penjemputan penumpang,Grab
Cucu Hawa,2,2026-04-22 08:36:23,"buat para driver nih, tolong dong kalau udah ambil orderan jangan main cancel aja,saya udah nunggu lama tinggal 2 menit lagi malah di cancel. Sering banget kaya seperti ini, kalau gak mau ambil kenapa gak dari awal aja gak usah diterima orderannya, kan jadi buang waktu harus nunggu lagi driver yg baru. terus helm untuk penumpang usahakan dicuci kan bekas kepala orang kotor, dan kasih yang ada tutupnya biar kita gak kelilipan.",Grab
Ariful Anwar,1,2026-04-22 08:32:55,susah banget KLO hujan pesen grab kek g punya driver sering ditolak kejauhan jemputnya,Grab
Citra Putri,3,2026-04-22 07:55:50,"belanja pakai grabmart knp driver hrs pakai mobil sih, kasian driver nya kalo masuk jalan sempit, tolong dikasih opsi dong bisa pilih motor atau mobil",Grab
Zakiatul Maulidia,2,2026-04-22 06:56:38,harus selalu di update kalau mau bisa digunakan,Grab
Muhlis Muhlis,5,2026-04-22 06:52:19,good,Grab
Andika Dimas Syah Putra,1,2026-04-22 06:45:48,drivernya kebanyakan ngecancel orderan!,Grab
Pipit Nurfitriyati,5,2026-04-22 06:27:42,sangst berguna,Grab
AL NASSR GARIS KERAS,1,2026-04-22 05:31:49,sangat buruk,Grab
Aam Amir,4,2026-04-22 03:43:28,good,Grab
Alza Zefitra,1,2026-04-22 03:34:04,"tolong dong saat hujan para driver ambil order jangan ga ngambil ada yang namanya jas ujan kan masalah cuman 1 ya saya gprlu pakai juga gpp persediaan untuk cust ini sama sekali ga ada yg ambil oder an daerah surabaya barat, padahal saya cuman deket jarak nya ke tmpt kerja dri jam 9 sampe jam set 11 ga ada driver yang mau ambil pesenan an saya heran.",Grab
Ridho Zakiy,1,2026-04-22 02:21:02,"apk autis pesen jastip diubah metode pembayaran ke ovo ada masalah pembayaran,cash ada masalah,gw sampe instal beberapa apk dimetode pembayaran gw relain isi saldo di setiap apk tetep gabisa, aneh gila",Grab
Muchammad Iqbal,1,2026-04-22 01:21:58,drivernya parah,Grab
orang baik Helo,3,2026-04-22 01:19:02,"seperti nya salah di pengemudinya kali ya,grab ini banyak seperti pengemudinya yang ga suka lihat owner pembeli aja malas sih apalagi di medan kota,🤣",Grab
lucyan feeng,5,2026-04-22 01:11:45,app nya bagus dan nyaman,Grab
Hasri Abdullah,4,2026-04-22 00:53:43,dilayani dengan baik,Grab
Marjuki Marjuki,5,2026-04-22 00:51:29,Alhamdulilah Semoga semua aktivitas nya di mudah kan Aamin YRA.,Grab
Ahmad Riyadi,5,2026-04-22 00:08:29,mantap,Grab
Jeanny Holiono,5,2026-04-21 23:36:47,semoga semakin maju,Grab
I gede darma,5,2026-04-21 22:07:54,grab sngt bagus,Grab
M Helmy,5,2026-04-21 18:07:40,oke,Grab
Dini Prasetya,2,2026-04-21 14:51:24,"Barusan dapet driver yg nganter makanan tapi sangat tidak sopan...baru kali ini dapet driver kaya gitu ..lokasi saya titiknya tidak akurat ada mungkin lebih 50 mter dari titik tersebut dan saya sudah chat drivernya eh malah tidak dibaca...gak lama nyampe depan rumah sambil klakson2 motor bbrpa kali lalu ngobrol ketus banget ,kenapa titiknya tidak akurat? saya jelaskan memang dari aplikasinya tidak bisa ,eh dia malah ngambek padahal kalo driver lain biasanya nelpon dulu atau chat dulu ..",Grab
Roseti Fatimah,5,2026-04-21 14:30:58,sukses selalu untuk grab,Grab
Restu,1,2026-04-21 14:12:32,lama banget dapetin driver grabfood padahal pake pengantaran prioritas gimana sih grab,Grab
Yuni Bahar,5,2026-04-21 13:50:32,bagus.. puas pelayanannya,Grab
lasmini kusnara,1,2026-04-21 13:38:17,"ini gimana siii saya gak mesan makarizo, kenapa dikirim terus",Grab
bapak rakhmat,5,2026-04-21 12:52:28,mantaf,Grab
ADI Putra,5,2026-04-21 12:48:18,sangat cocok,Grab
Dhabex Channel,1,2026-04-21 12:43:53,parah ini grab . udah minta di upgrade tetap saja gak bisa di gunakan . dasar aneh,Grab
Welni Sekewael,1,2026-04-21 12:25:41,grab skrng maunya yang mahal!!! KLO hemat lama kali,Grab
Wiwi Reska,4,2026-04-21 12:13:12,sy jika pake aplikasi ini jadi mudah memakai nya,Grab
nilz ddun,1,2026-04-21 12:01:58,"apk tolol,, alamatnya ngaco, gak akurat,,",Grab
ali imron,2,2026-04-21 11:44:40,"sulit untuk pembayaran, sudah milih pembayaran ttp gak bisa buat pesan makanan..",Grab
奥特曼,1,2026-04-21 11:19:37,"woy ini app notifnya seberapa banyak dalam sehari, parah, UNINSTALL!!!!!",Grab
Lingga Saputra Wiranata,5,2026-04-21 11:17:11,ok,Grab
R Win,1,2026-04-21 11:03:13,"sangat jelek pelayanan di kota wonosobo lempar"" n driver dan makana basah kena air",Grab
sera della aprilian,5,2026-04-21 11:01:40,Terbaikk,Grab
Hasrif Nova Syahputra,1,2026-04-21 10:41:05,mohon diperbaiki pelayanannya ya. terkhusus driver,Grab
Gini Suryati,1,2026-04-21 10:18:48,gak ngapa ngapain malah ditangguhkan aneh,Grab
Dwi Febiyanti,1,2026-04-21 10:12:36,aplikasi menyebalkan selalu kalo pesan makanan susah dapat driver padahal bayar pake ovo .giliran mau di batalkan ga bisa² ga guna,Grab
Maryam Hazrina,1,2026-04-21 09:49:59,"dengan nggak ada fitur pembatalan di aplikasi rasanya sangat menganggu sekali. 2 jam nunggu makanan nggak sampe sampe. dicancel nggak bisa makanan nggak di anter anter. kalo nggak di anter dan emang nggak bisa di kirim nggak masalah, kalo ternyata dikirim dan saya udah berpindah tempat customer lagi nnt yang salah disangka orderan fiktif.",Grab
Cahaya Gentha,1,2026-04-21 09:26:46,saya pemakai grab ride area cipanas puncak kecewa dengan pengemudi grab ride yang pilihan pada penumpang ... udah jelas2 saya di depan matanya dia dan saya tau dya yg saya order malah pergi dan memblok saya mentang2 motor bagus ....,Grab
Upin Ipin,5,2026-04-21 09:13:02,bagus,Grab
Samsul Bahri,1,2026-04-21 09:02:07,aplikasi lemot pea,Grab
Cecep Anwar,5,2026-04-21 08:59:15,mantap,Grab
Ahmat Soli,1,2026-04-21 08:52:27,lambat reaksi kurir nya lambat lelet semua,Grab
Salsabila Novia,3,2026-04-21 08:33:40,👎,Grab
Putri Alifia,1,2026-04-21 08:02:36,sekarang kalau cari Drive sulit apalagi pas dibutuhkan,Grab
roni Sanguan,5,2026-04-21 07:57:43,mantap,Grab
Hasan Ashari,5,2026-04-21 07:40:22,cepat tepat mudah,Grab
Saifun Najib,3,2026-04-21 07:05:29,aneh kadang ni aplikasi suka eror nggak bisa di buka tolong dong min di perbaiki,Grab
Nadzir Bindere,5,2026-04-21 06:51:57,risolnya enak bngt dan murah. apalagi juga ada es telernya yg enak dan harganya juga murah. pokoknya very interesting. yg jual ramah suka nyapa.,Grab
